timestamp,side,angle_deg,p50,p95,risk,stroke_count,phase
1759092510.8795252,right,161.54248046875,161.7465057373047,171.79005126953126,Overextension risk,1,Warmup
1759092510.945993,right,156.02420043945312,161.54248046875,171.78925170898438,Overextension risk,1,Warmup
1759092511.014337,right,155.77444458007812,160.9637908935547,171.7884521484375,Overextension risk,1,Warmup
1759092511.080708,right,162.3077392578125,161.54248046875,171.78765258789062,Overextension risk,1,Warmup
1759092511.147438,right,168.15939331054688,161.7465057373047,171.78685302734374,Overextension risk,1,Warmup
1759092511.214474,right,169.82974243164062,161.95053100585938,171.7860534667969,Overextension risk,1,Warmup
1759092511.281281,right,165.9588165283203,162.12913513183594,171.78525390625,Overextension risk,1,Warmup
1759092511.347478,right,170.68478393554688,162.3077392578125,171.78445434570312,Overextension risk,1,Warmup
1759092511.414731,right,168.13902282714844,162.64659881591797,171.7363510131836,Overextension risk,1,Warmup
1759092511.479615,right,168.358154296875,162.98545837402344,171.68824768066406,Overextension risk,1,Warmup
1759092511.549171,right,166.61436462402344,163.0740966796875,171.64014434814453,Overextension risk,1,Warmup
1759092511.613266,right,164.47569274902344,163.16273498535156,171.592041015625,Overextension risk,1,Warmup
1759092511.6786501,right,158.36927795410156,163.0740966796875,171.54393768310547,Overextension risk,1,Warmup
1759092511.746164,right,161.50428771972656,162.98545837402344,171.49583435058594,Overextension risk,1,Warmup
1759092511.814573,right,162.51156616210938,162.7485122680664,171.4477310180664,Overextension risk,1,Warmup
1759092511.8822222,right,155.05258178710938,162.51156616210938,171.39962768554688,Overextension risk,1,Warmup
1759092511.946031,right,150.80111694335938,162.40965270996094,171.35152435302734,Overextension risk,1,Warmup
1759092512.012397,right,155.4788055419922,162.3077392578125,171.3034210205078,Overextension risk,1,Warmup
1759092512.079784,right,155.9689178466797,162.12913513183594,171.25531768798828,Overextension risk,1,Warmup
1759092512.1479502,right,156.52378845214844,161.95053100585938,171.20721435546875,Overextension risk,1,Warmup
1759092512.2177742,right,153.56655883789062,161.7465057373047,171.15911102294922,Overextension risk,1,Warmup
1759092512.279254,right,154.353271484375,161.54248046875,171.1110076904297,Overextension risk,1,Warmup
1759092512.346046,right,150.36038208007812,161.52338409423828,171.06290435791016,Overextension risk,1,Warmup
1759092512.4139872,right,153.18394470214844,161.50428771972656,171.01480102539062,Overextension risk,1,Warmup
1759092512.480427,right,155.59368896484375,160.94469451904297,170.9666976928711,Overextension risk,1,Warmup
1759092512.5469,right,159.7058563232422,160.38510131835938,170.91859436035156,Overextension risk,1,Warmup
1759092512.6129851,right,161.5507354736328,160.94469451904297,170.87049102783203,Overextension risk,1,Warmup
